,predict,true
252,3261.549072265625,3272.7299999999996
253,3260.667236328125,3224.53
254,3259.397705078125,3225.1200000000003
255,3249.6279296875,3271.07
256,3260.615478515625,3277.44
257,3266.177734375,3320.13
258,3293.189208984375,3312.16
259,3307.21142578125,3373.73
260,3349.117919921875,3360.1499999999996
261,3367.974365234375,3342.2
262,3366.423095703125,3338.68
263,3355.313232421875,3310.0999999999995
264,3338.440185546875,3346.97
265,3349.544189453125,3339.9000000000005
266,3353.311279296875,3347.3
267,3359.811767578125,3363.09
268,3360.903076171875,3377.73
269,3373.826416015625,3414.49
270,3411.57470703125,3402.8199999999997
271,3416.63623046875,3362.33
272,3414.764404296875,3369.73
273,3392.96435546875,3408.3100000000004
274,3404.4189453125,3391.76
275,3430.02197265625,3451.9400000000005
276,3437.26025390625,3449.3800000000006
277,3456.774658203125,3442.14
278,3458.516845703125,3444.58
279,3452.428955078125,3416.6
280,3446.818359375,3410.18
281,3432.224365234375,3371.96
282,3418.676025390625,3373.28
283,3400.212158203125,3347.19
284,3390.641357421875,3369.1200000000003
285,3378.582275390625,3367.2299999999996
286,3373.242919921875,3366.98
287,3372.93505859375,3404.8699999999994
288,3389.4619140625,3394.9
289,3403.534423828125,3420.5700000000006
290,3415.412353515625,3356.78
291,3411.022216796875,3382.3199999999997
292,3405.2958984375,3363.1100000000006
293,3396.284423828125,3396.5599999999995
294,3397.52783203125,3397.29
295,3410.650634765625,3379.04
296,3410.39794921875,3414.45
297,3413.847900390625,3473.0700000000006
298,3450.520751953125,3502.9600000000005
299,3488.881591796875,3528.68
300,3522.12939453125,3550.88
301,3548.674072265625,3576.2
302,3577.21337890625,3570.11
303,3585.49365234375,3531.5
304,3582.4208984375,3608.34
305,3588.3876953125,3598.6500000000005
306,3617.07861328125,3565.9
307,3605.748046875,3566.38
308,3595.1796875,3596.22
309,3597.743896484375,3566.38
310,3598.67138671875,3583.09
311,3590.34130859375,3621.2600000000007
312,3616.746337890625,3606.75
313,3621.684814453125,3624.2400000000002
314,3631.05322265625,3569.43
315,3612.035888671875,3573.34
316,3594.57373046875,3505.18
317,3560.66748046875,3483.07
318,3536.029296875,3505.28
319,3521.7001953125,3533.68
320,3528.02099609375,3517.3100000000004
321,3533.91552734375,3501.86
322,3523.509765625,3496.3299999999995
323,3526.4833984375,3532.45
324,3527.78125,3603.49
325,3557.10595703125,3655.09
326,3600.82763671875,3675.3599999999997
327,3658.976806640625,3696.17
328,3685.21142578125,3642.4399999999996
329,3714.35546875,3636.3599999999997
330,3691.9033203125,3564.08
331,3650.81396484375,3585.05
332,3635.653564453125,3509.0800000000004
333,3581.614990234375,3551.4
334,3572.18798828125,3508.5900000000006
335,3560.448486328125,3576.9
336,3566.826171875,3503.4899999999993
337,3560.01318359375,3501.99
338,3538.155517578125,3421.41
339,3521.76123046875,3359.29
340,3466.67919921875,3357.7400000000002
341,3420.682861328125,3436.83
342,3430.991455078125,3453.08
343,3452.670166015625,3419.9500000000003
344,3451.608154296875,3446.73
345,3454.628173828125,3445.55
346,3453.891357421875,3463.0699999999997
347,3467.051025390625,3404.66
348,3447.74169921875,3443.44
349,3452.72802734375,3411.51
350,3449.73779296875,3367.06
351,3426.077392578125,3363.5900000000006
352,3399.874755859375,3418.33
353,3411.1181640625,3435.2999999999997
354,3429.39208984375,3456.68
355,3444.026123046875,3441.9099999999994
356,3450.71435546875,3466.3300000000004
357,3463.68994140625,3484.3900000000003
358,3478.045166015625,3482.97
359,3483.2109375,3479.63
360,3489.900390625,3482.55
361,3499.9130859375,3450.68
362,3486.043212890625,3412.9499999999994
363,3468.162841796875,3396.47
364,3441.4072265625,3416.72
365,3428.18896484375,3398.99
366,3414.455810546875,3426.62
367,3422.66748046875,3477.55
368,3450.87548828125,3472.94
369,3471.947265625,3472.9300000000003
370,3472.82373046875,3465.1099999999997
371,3478.423583984375,3474.17
372,3479.795166015625,3441.17
373,3479.151611328125,3442.61
374,3462.0400390625,3457.07
375,3459.835205078125,3474.8999999999996
376,3472.91259765625,3446.8600000000006
377,3472.345947265625,3441.28
378,3470.845703125,3418.87
379,3469.734130859375,3427.99
380,3464.438720703125,3441.85
381,3458.193603515625,3462.75
382,3464.87744140625,3429.54
383,3457.854736328125,3490.38
384,3476.9423828125,3517.62
